Local_CORNERS_AF_AVG,Local_CORNERS_EC_AVG,Visitante_CORNERS_AF_AVG,Visitante_CORNERS_EC_AVG,Local_ST_AF_AVG,Local_ST_EC_AVG,Visitante_ST_AF_AVG,Visitante_ST_EC_AVG,FACTOR_LOCAL,CORNERS_TOTAL_PARTIDO
4.4,5.1,5.1,4.4,10.5,15.35,15.35,10.5,1,6
6.6,2.1,2.1,6.6,15.549999999999999,8.95,8.95,15.549999999999999,1,9
6.199999999999999,5.3,5.3,6.199999999999999,13.45,12.0,12.0,13.45,1,11
5.1,6.5,6.5,5.1,10.7,13.2,13.2,10.7,1,10
6.699999999999999,3.8,3.8,6.699999999999999,13.8,8.55,8.55,13.8,1,9
4.3,4.2,4.2,4.3,10.8,13.1,13.1,10.8,1,3
4.4,7.199999999999999,7.199999999999999,4.4,12.2,13.8,13.8,12.2,1,13
5.2,4.9,4.9,5.2,14.15,10.3,10.3,14.15,1,16
4.0,5.5,5.5,4.0,12.85,14.5,14.5,12.85,1,9
4.1,5.5,5.5,4.1,11.85,14.75,14.75,11.85,1,4
4.199999999999999,5.7,5.7,4.199999999999999,11.3,12.45,12.45,11.3,1,5
5.2,5.1,5.1,5.2,12.35,14.25,14.25,12.35,1,11
5.4,5.5,5.5,5.4,12.0,10.649999999999999,10.649999999999999,12.0,1,4
6.2,3.7,3.7,6.2,14.55,12.6,12.6,14.55,1,10
6.0,4.5,4.5,6.0,12.25,9.8,9.8,12.25,1,11
4.199999999999999,4.8,4.8,4.199999999999999,12.75,10.65,10.65,12.75,1,6
4.4,4.8,4.8,4.4,10.55,13.399999999999999,13.399999999999999,10.55,1,12
4.6,3.3,3.3,4.6,12.45,14.350000000000001,14.350000000000001,12.45,1,11
3.9000000000000004,6.0,6.0,3.9000000000000004,11.3,14.3,14.3,11.3,1,8
4.9,4.0,4.0,4.9,14.75,13.6,13.6,14.75,1,9
6.3,5.1,5.1,6.3,15.25,9.7,9.7,15.25,1,8
4.4,4.199999999999999,4.199999999999999,4.4,10.8,15.3,15.3,10.8,1,5
5.1,5.2,5.2,5.1,14.1,10.7,10.7,14.1,1,8
3.7,5.5,5.5,3.7,10.55,13.8,13.8,10.55,1,14
3.5999999999999996,4.6,4.6,3.5999999999999996,13.0,10.5,10.5,13.0,1,5
5.699999999999999,4.0,4.0,5.699999999999999,13.55,12.25,12.25,13.55,1,18
4.0,4.800000000000001,4.800000000000001,4.0,9.8,12.15,12.15,9.8,1,9
4.0,6.4,6.4,4.0,10.95,13.6,13.6,10.95,1,8
3.3,3.7,3.7,3.3,10.6,14.5,14.5,10.6,1,16
5.3,4.7,4.7,5.3,12.7,13.25,13.25,12.7,1,19
4.7,4.300000000000001,4.300000000000001,4.7,12.3,11.4,11.4,12.3,1,13
4.800000000000001,4.1,4.1,4.800000000000001,12.35,12.35,12.35,12.35,1,5
4.5,5.7,5.7,4.5,12.65,12.05,12.05,12.65,1,9
6.0,3.8,3.8,6.0,14.25,11.85,11.85,14.25,1,15
3.5,4.5,4.5,3.5,12.4,12.100000000000001,12.100000000000001,12.4,1,9
3.0999999999999996,5.5,5.5,3.0999999999999996,9.55,15.0,15.0,9.55,1,7
4.1,4.7,4.7,4.1,11.95,10.3,10.3,11.95,1,7
4.8,3.8000000000000003,3.8000000000000003,4.8,14.0,12.55,12.55,14.0,1,9
4.1,5.1,5.1,4.1,12.75,12.350000000000001,12.350000000000001,12.75,1,12
